ID,Gender,Age,Type,Purpose,
1,Male,48,First-time,Business,
2,Female,35,Returning,Business,
3,Male,41,Returning,Business,
4,Male,50,Returning,Business,
5,Female,49,Returning,Business,
6,Male,43,Returning,Business,
7,Male,43,Returning,Business,
8,Female,60,Returning,Business,
9,Male,50,Returning,Business,
10,Female,38,Returning,Business,
11,Female,28,First-time,Business,
12,Female,27,First-time,Business,
13,Male,24,First-time,Business,
14,Male,9,Returning,Personal,
15,Male,52,Returning,Personal,
16,Male,70,Returning,Personal,
17,Female,48,Returning,Personal,
18,Female,61,Returning,Personal,
19,Female,11,Returning,Personal,
20,Female,42,Returning,Personal,
21,Female,14,Returning,Personal,
22,Female,70,Returning,Personal,
23,Female,56,Returning,Personal,
24,Male,77,Returning,Business,
25,Male,51,Returning,Business,
26,Male,47,Returning,Business,
27,Male,50,Returning,Business,
28,Male,58,Returning,Business,
29,Male,40,Returning,Business,
30,Male,48,Returning,Business,
31,Male,35,First-time,Business,
32,Male,21,First-time,Business,
33,Female,33,First-time,Business,
34,Female,48,Returning,Business,
35,Male,39,Returning,Business,
36,Female,42,Returning,Business,
37,Female,54,Returning,Business,
38,Female,51,Returning,Business,
39,Female,46,Returning,Business,
40,Male,51,Returning,Business,
41,Female,54,Returning,Business,
42,Female,45,Returning,Business,
43,Female,54,Returning,Business,
44,Male,51,Returning,Business,
45,Male,56,Returning,Business,
46,Female,23,First-time,Business,
47,Male,24,First-time,Business,
48,Female,40,First-time,Business,
49,Male,20,First-time,Business,
50,Male,27,First-time,Business,
51,Male,44,Returning,Business,
52,Female,20,First-time,Business,
53,Male,37,First-time,Business,
54,Male,40,Returning,Business,
55,Male,36,Returning,Business,
56,Female,56,Returning,Business,
57,Female,56,Returning,Business,
58,Female,43,Returning,Business,
59,Female,41,Returning,Business,
60,Male,57,Returning,Business,
61,Male,42,Returning,Business,
62,Male,31,Returning,Business,
63,Female,37,Returning,Business,
64,Male,56,Returning,Business,
65,Male,24,First-time,Business,
66,Male,36,Returning,Business,
67,Male,50,Returning,Business,
68,Male,43,Returning,Business,
69,Male,52,Returning,Business,
70,Female,49,Returning,Business,
71,Female,47,First-time,Business,
72,Male,53,Returning,Business,
73,Male,70,Returning,Business,
74,Female,25,First-time,Business,
75,Female,23,First-time,Business,
76,Male,55,First-time,Business,
77,Female,72,First-time,Business,
78,Male,58,Returning,Personal,
79,Female,70,Returning,Personal,
80,Female,46,Returning,Personal,
81,Female,19,Returning,Personal,
82,Male,39,Returning,Personal,
83,Male,58,Returning,Personal,
84,Female,9,Returning,Personal,
85,Male,53,Returning,Personal,
86,Female,27,Returning,Personal,
87,Male,65,Returning,Personal,
88,Female,52,Returning,Personal,
89,Female,53,Returning,Personal,
90,Male,41,Returning,Business,
91,Female,32,First-time,Business,
92,Female,50,Returning,Business,
93,Female,43,Returning,Business,
94,Male,80,Returning,Business,
95,Female,7,Returning,Personal,
96,Female,34,Returning,Personal,
97,Female,18,First-time,Business,
98,Male,44,Returning,Business,
99,Female,52,Returning,Business,
100,Female,23,First-time,Business,
101,Male,44,Returning,Business,
102,Female,51,Returning,Business,
103,Male,44,Returning,Business,
104,Male,42,Returning,Business,
105,Female,55,Returning,Business,
106,Male,24,First-time,Business,
107,Male,47,Returning,Business,
108,Male,43,Returning,Business,
109,Female,72,Returning,Business,
110,Female,27,First-time,Business,
