airport_code,city,state
ABY,Albany,GA
ATL,Atlanta,GA
MOB,Mobile,AL
BUF,Buffalo,NY
DFW,Dallas/Fort Worth,TX
BTV,Burlington,VT
CVG,Cincinnati,KY
LGA,New York,NY
CHO,Charlottesville,VA
EWN,New Bern/Morehead/Beaufort,NC
MCI,Kansas City,MO
MGM,Montgomery,AL
MSP,Minneapolis,MN
DCA,Washington,VA
FAY,Fayetteville,NC
OAJ,Jacksonville/Camp Lejeune,NC
STL,St. Louis,MO
CWA,Mosinee,WI
DTW,Detroit,MI
RDU,Raleigh/Durham,NC
SRQ,Sarasota/Bradenton,FL
AEX,Alexandria,LA
AUS,Austin,TX
CSG,Columbus,GA
EVV,Evansville,IN
IND,Indianapolis,IN
CLE,Cleveland,OH
PIA,Peoria,IL
TRI,Bristol/Johnson City/Kingsport,TN
BGR,Bangor,ME
IAD,Washington,VA
PWM,Portland,ME
TYS,Knoxville,TN
GSO,Greensboro/High Point,NC
AVL,Asheville,NC
BTR,Baton Rouge,LA
MKE,Milwaukee,WI
CMH,Columbus,OH
GRR,Grand Rapids,MI
GSP,Greer,SC
BIS,Bismarck/Mandan,ND
ORD,Chicago,IL
ROC,Rochester,NY
CHA,Chattanooga,TN
TVC,Traverse City,MI
FSM,Fort Smith,AR
JAX,Jacksonville,FL
BOS,Boston,MA
GRB,Green Bay,WI
TUL,Tulsa,OK
VLD,Valdosta,GA
CRW,Charleston/Dunbar,WV
IAH,Houston,TX
XNA,Fayetteville,AR
JAN,Jackson/Vicksburg,MS
SAV,Savannah,GA
CHS,Charleston,SC
ROA,Roanoke,VA
GFK,Grand Forks,ND
SYR,Syracuse,NY
MDT,Harrisburg,PA
SAT,San Antonio,TX
BMI,Bloomington/Normal,IL
LFT,Lafayette,LA
BNA,Nashville,TN
PHL,Philadelphia,PA
BQK,Brunswick,GA
ORF,Norfolk,VA
GNV,Gainesville,FL
OMA,Omaha,NE
TPA,Tampa,FL
BWI,Baltimore,MD
MEM,Memphis,TN
MBS,Saginaw/Bay City/Midland,MI
SDF,Louisville,KY
LEX,Lexington,KY
CLT,Charlotte,NC
DAY,Dayton,OH
MOT,Minot,ND
FAR,Fargo,ND
CAE,Columbia,SC
DSM,Des Moines,IA
PIT,Pittsburgh,PA
DHN,Dothan,AL
MHT,Manchester,NH
ILM,Wilmington,NC
SGF,Springfield,MO
ELM,Elmira/Corning,NY
BDL,Hartford,CT
MCO,Orlando,FL
RIC,Richmond,VA
SHV,Shreveport,LA
MSY,New Orleans,LA
HSV,Huntsville,AL
TLH,Tallahassee,FL
LAN,Lansing,MI
LIT,Little Rock,AR
GRK,Killeen,TX
MSN,Madison,WI
ATW,Appleton,WI
HRL,Harlingen/San Benito,TX
HPN,White Plains,NY
CAK,Akron,OH
EWR,Newark,NJ
RSW,Fort Myers,FL
BQN,Aguadilla,PR
PBI,West Palm Beach/Palm Beach,FL
FLL,Fort Lauderdale,FL
SLC,Salt Lake City,UT
PSE,Ponce,PR
JFK,New York,NY
SJC,San Jose,CA
LAS,Las Vegas,NV
LGB,Long Beach,CA
LAX,Los Angeles,CA
SFO,San Francisco,CA
SJU,San Juan,PR
HOU,Houston,TX
DEN,Denver,CO
SEA,Seattle,WA
STT,Charlotte Amalie,VI
PVD,Providence,RI
PDX,Portland,OR
SAN,San Diego,CA
RNO,Reno,NV
ALB,Albany,NY
PHX,Phoenix,AZ
OAK,Oakland,CA
PSP,Palm Springs,CA
SMF,Sacramento,CA
STX,Christiansted,VI
BUR,Burbank,CA
SWF,Newburgh/Poughkeepsie,NY
DAB,Daytona Beach,FL
ORH,Worcester,MA
ABQ,Albuquerque,NM
ELP,El Paso,TX
LCH,Lake Charles,LA
HOB,Hobbs,NM
PNS,Pensacola,FL
COS,Colorado Springs,CO
