booking_id,customer_id,flight_id,origin_airport,dest_airport,NumTicketsOrdered,PricePerTicket
42,ECO_P,1256,LAX,PHL,2,129
84,ECO_P,4082,LAX,PHL,1,148.5
127,ECO_P,1541,PHL,LAX,1,166
169,ECO_P,3565,PHL,LAX,5,185
212,BUS,6044,LAX,PHL,2,198
254,ECO,5314,LAX,PHL,1,217
297,F_CLASS,1559,PHL,LAX,2,233.5
339,ECO_P,1354,PHL,LAX,4,248
382,BUS,5213,LAX,PHL,5,264
424,F_CLASS,4428,LAX,PHL,3,284.5
467,F_CLASS,3474,PHL,LAX,1,304
509,ECO_P,2999,PHL,LAX,1,331
552,BUS,2900,LAX,PHL,3,386
594,BUS,1011,LAX,PHL,1,476.5
637,ECO,534,PHL,LAX,1,781.5
679,BUS,2881,PHL,LAX,2,228.46
722,F_CLASS,337,PHL,LAX,1,436.01
764,F_CLASS,214,SFO,PHL,1,451.48
807,BUS,691,PHL,MCI,1,210
849,ECO_P,4017,PHL,MCI,2,263.68
892,ECO_P,3624,PHL,MCI,1,180
934,BUS,6177,PHL,MCI,1,223.5
977,ECO,4927,PHL,MCI,2,277.5
1019,ECO_P,2703,MCI,PHL,1,443.5
1062,ECO,1831,PHL,MCO,2,109
1104,BUS,5119,PHL,MCO,1,184
1147,F_CLASS,5049,PHL,MCO,1,324
1189,BUS,1416,PHL,MCO,1,455
1232,ECO_P,3098,PHL,MCO,1,77
1274,BUS,4685,PHL,MCO,1,475.8
1317,F_CLASS,4601,MIA,PHL,1,299.59
1359,ECO_P,381,PHL,MCO,1,56
1402,F_CLASS,3475,MCO,PHL,1,71
1444,ECO_P,6126,MCO,PHL,1,86
1487,ECO_P,4987,PHL,MCO,2,98
1529,BUS,260,PHL,MCO,2,111.5
1572,ECO_P,5098,MCO,PHL,1,122.5
1614,ECO,638,MCO,PHL,2,135
1657,F_CLASS,3875,PHL,MCO,3,146.5
1699,F_CLASS,4253,PHL,MCO,1,161.5
1742,ECO,3614,MCO,PHL,5,171.5
1784,BUS,4569,MCO,PHL,1,187.5
1827,BUS,6122,PHL,MCO,3,200.5
1869,ECO,2503,PHL,MCO,2,211.5
1912,ECO,6053,MCO,PHL,2,222
1954,BUS,3373,MCO,PHL,1,233
1997,F_CLASS,6550,PHL,MCO,1,243.5
2039,BUS,2332,PHL,MCO,1,255.5
2082,ECO,5286,MCO,PHL,2,266.5
2124,ECO,4477,MCO,PHL,3,274
2167,BUS,4489,PHL,MCO,6,289
2209,ECO,5781,PHL,MCO,1,302
2252,ECO,3419,MCO,PHL,1,316
2294,BUS,3719,MCO,PHL,1,333
2337,ECO,3464,PHL,MCO,2,351.5
2379,F_CLASS,2508,PHL,MCO,1,368.5
2422,ECO,1981,MCO,PHL,1,409.5
2464,ECO_P,2519,MCO,PHL,2,436
2507,F_CLASS,5816,PHL,MCO,1,511
2549,ECO,6694,RSW,PHL,1,151.57
2592,ECO,5068,PHL,MHT,1,290
2634,F_CLASS,4686,PHL,MIA,1,59
2677,ECO_P,4327,PHL,MIA,3,135
2719,ECO_P,3028,PHL,MIA,1,233
2762,ECO,2025,PHL,MIA,1,358
2804,F_CLASS,2702,PHL,MIA,1,652
2847,F_CLASS,2913,PHL,MIA,1,179.39
2889,F_CLASS,2834,PHL,MIA,1,153.09
2932,ECO,4077,MIA,LGA,1,339.35
2974,BUS,983,MSY,PHL,1,228.23
3017,F_CLASS,5105,PHL,MIA,1,73
3059,ECO,180,PHL,MIA,2,94
3102,F_CLASS,3944,MIA,PHL,1,107.5
3144,BUS,2228,MIA,PHL,1,122
3187,F_CLASS,2243,PHL,MIA,3,137.5
3229,ECO,4908,PHL,MIA,15,151
3272,F_CLASS,5600,MIA,PHL,1,166.5
3314,ECO_P,2370,MIA,PHL,3,182.5
3357,ECO_P,4861,PHL,MIA,13,200.5
3399,BUS,4997,PHL,MIA,2,216
3442,ECO,4249,MIA,PHL,1,234
3484,BUS,4991,MIA,PHL,1,254.5
3527,F_CLASS,3274,PHL,MIA,1,284
3569,ECO,6100,PHL,MIA,6,312
3612,ECO,2890,MIA,PHL,1,343.5
3654,BUS,1231,MIA,PHL,1,387
3697,ECO,2381,PHL,MIA,1,443.5
3739,F_CLASS,2809,PHL,MIA,7,489
3782,ECO_P,4708,PHL,MIA,1,253.25
3824,BUS,3991,PHL,MSP,1,184
3867,ECO,5547,PHL,MSP,2,372
3909,ECO_P,2119,PHL,MSP,1,215.89
3952,ECO,3311,PHL,MSP,1,316.83
3994,F_CLASS,4882,MSP,PHL,1,154.5
4037,ECO_P,2227,PHL,MSP,1,175.5
4079,BUS,3664,PHL,MSP,2,196
4122,F_CLASS,2951,MSP,PHL,1,241
4164,ECO,5393,MSP,PHL,2,297
4207,BUS,1566,PHL,MSP,1,351
4249,BUS,3195,PHL,MSP,1,442
4292,F_CLASS,6249,MSP,PHL,5,888.5
4334,BUS,6413,PHL,MSY,1,393
4377,F_CLASS,443,PHL,MSY,1,875
4419,ECO,5711,PHL,MSY,1,232.33
4462,BUS,3712,PHL,MSY,1,468.21
4504,BUS,3175,MSY,PHL,1,79
4547,BUS,988,PHL,MSY,3,135
4589,ECO,1497,MSY,PHL,1,165
4632,ECO,2059,PHL,MSY,4,191.5
4674,ECO,5594,PHL,MSY,1,217
4717,ECO,3673,MSY,PHL,1,239
4759,ECO,4848,MSY,PHL,8,261.5
4802,BUS,2884,PHL,MSY,12,288
4844,BUS,1679,PHL,MSY,1,308
4887,BUS,3059,PHL,MSY,2,336.5
4929,F_CLASS,379,PHL,MSY,1,361.5
4972,ECO_P,2743,MSY,PHL,1,384
5014,BUS,1218,MSY,PHL,1,414.5
5057,BUS,5962,MSY,PHL,2,460.5
5099,F_CLASS,6301,MSY,PHL,1,513.5
