flight_id,opr_airline_id,opr_airline_code,mkt_airline_id,mkt_airline_code
3298,20363,9E,19790,DL
3299,20363,9E,19790,DL
3300,20363,9E,19790,DL
3301,20363,9E,19790,DL
3302,20363,9E,19790,DL
3303,20363,9E,19790,DL
3304,20363,9E,19790,DL
3305,20363,9E,19790,DL
3306,20363,9E,19790,DL
3307,20363,9E,19790,DL
3308,20363,9E,19790,DL
3309,20363,9E,19790,DL
3310,20363,9E,19790,DL
3311,20363,9E,19790,DL
3312,20363,9E,19790,DL
3313,20363,9E,19790,DL
3314,20363,9E,19790,DL
3315,20363,9E,19790,DL
3316,20363,9E,19790,DL
3317,20363,9E,19790,DL
3318,20363,9E,19790,DL
3319,20363,9E,19790,DL
3320,20363,9E,19790,DL
3321,20363,9E,19790,DL
3322,20363,9E,19790,DL
3323,20363,9E,19790,DL
3324,20363,9E,19790,DL
3325,20363,9E,19790,DL
3326,20363,9E,19790,DL
3327,20363,9E,19790,DL
3328,20363,9E,19790,DL
3329,20363,9E,19790,DL
3330,20363,9E,19790,DL
3331,20363,9E,19790,DL
3332,20363,9E,19790,DL
3333,20363,9E,19790,DL
3334,20363,9E,19790,DL
3335,20363,9E,19790,DL
3336,20363,9E,19790,DL
3337,20363,9E,19790,DL
3338,20363,9E,19790,DL
3339,20363,9E,19790,DL
3340,20363,9E,19790,DL
3341,20363,9E,19790,DL
3342,20363,9E,19790,DL
3343,20363,9E,19790,DL
3344,20363,9E,19790,DL
3345,20363,9E,19790,DL
3346,20363,9E,19790,DL
3347,20363,9E,19790,DL
3348,20363,9E,19790,DL
3349,20363,9E,19790,DL
3350,20363,9E,19790,DL
3351,20363,9E,19790,DL
3352,20363,9E,19790,DL
3353,20363,9E,19790,DL
3354,20363,9E,19790,DL
3355,20363,9E,19790,DL
3356,20363,9E,19790,DL
3357,20363,9E,19790,DL
3358,20363,9E,19790,DL
3359,20363,9E,19790,DL
3360,20363,9E,19790,DL
3361,20363,9E,19790,DL
3362,20363,9E,19790,DL
3363,20363,9E,19790,DL
3365,20363,9E,19790,DL
3366,20363,9E,19790,DL
3367,20363,9E,19790,DL
3368,20363,9E,19790,DL
3369,20363,9E,19790,DL
3370,20363,9E,19790,DL
3371,20363,9E,19790,DL
3372,20363,9E,19790,DL
3373,20363,9E,19790,DL
3374,20363,9E,19790,DL
3375,20363,9E,19790,DL
3376,20363,9E,19790,DL
3377,20363,9E,19790,DL
3378,20363,9E,19790,DL
3379,20363,9E,19790,DL
3380,20363,9E,19790,DL
3381,20363,9E,19790,DL
3382,20363,9E,19790,DL
3383,20363,9E,19790,DL
3384,20363,9E,19790,DL
3385,20363,9E,19790,DL
3386,20363,9E,19790,DL
3387,20363,9E,19790,DL
3388,20363,9E,19790,DL
3389,20363,9E,19790,DL
3390,20363,9E,19790,DL
3391,20363,9E,19790,DL
3392,20363,9E,19790,DL
3393,20363,9E,19790,DL
3394,20363,9E,19790,DL
3395,20363,9E,19790,DL
3396,20363,9E,19790,DL
3397,20363,9E,19790,DL
3398,20363,9E,19790,DL
3399,20363,9E,19790,DL
3400,20363,9E,19790,DL
3401,20363,9E,19790,DL
3402,20363,9E,19790,DL
3403,20363,9E,19790,DL
3404,20363,9E,19790,DL
3405,20363,9E,19790,DL
3406,20363,9E,19790,DL
3407,20363,9E,19790,DL
3408,20363,9E,19790,DL
3410,20363,9E,19790,DL
3411,20363,9E,19790,DL
3412,20363,9E,19790,DL
3413,20363,9E,19790,DL
3414,20363,9E,19790,DL
3415,20363,9E,19790,DL
3416,20363,9E,19790,DL
3417,20363,9E,19790,DL
3418,20363,9E,19790,DL
3420,20363,9E,19790,DL
3421,20363,9E,19790,DL
3422,20363,9E,19790,DL
3423,20363,9E,19790,DL
3424,20363,9E,19790,DL
3425,20363,9E,19790,DL
3426,20363,9E,19790,DL
3427,20363,9E,19790,DL
3428,20363,9E,19790,DL
3429,20363,9E,19790,DL
3430,20363,9E,19790,DL
3431,20363,9E,19790,DL
3432,20363,9E,19790,DL
3433,20363,9E,19790,DL
3434,20363,9E,19790,DL
3435,20363,9E,19790,DL
3436,20363,9E,19790,DL
3437,20363,9E,19790,DL
3438,20363,9E,19790,DL
3439,20363,9E,19790,DL
3440,20363,9E,19790,DL
3441,20363,9E,19790,DL
3442,20363,9E,19790,DL
3443,20363,9E,19790,DL
3444,20363,9E,19790,DL
3445,20363,9E,19790,DL
3446,20363,9E,19790,DL
3447,20363,9E,19790,DL
3448,20363,9E,19790,DL
3449,20363,9E,19790,DL
3450,20363,9E,19790,DL
3451,20363,9E,19790,DL
3452,20363,9E,19790,DL
3453,20363,9E,19790,DL
3454,20363,9E,19790,DL
3455,20363,9E,19790,DL
3456,20363,9E,19790,DL
3457,20363,9E,19790,DL
3458,20363,9E,19790,DL
3459,20363,9E,19790,DL
