manufacturer,airline_id,aircraft _type,total
British Aerospace,ZW,British Aerospace BAe 146/Avro RJ,26
British Aerospace,ZW,British Aerospace BAe ATP,10
Canadair,ZW,Canadair CRJ-100 Series,71
De Havilland,ZW,De Havilland Canada DHC-8 Dash 8,12
Dornier,ZW,Dornier Do-328,23
Boeing,AS,Boeing 737,198
Canadair,AS,Canadair CRJ-700,8
Embraer,AS,Embraer ERJ-170,15
McDonnell Douglas,AS,McDonnell Douglas MD-80,48
Airbus,G4,Airbus A319,23
Airbus,G4,Airbus A320,16
Boeing,G4,Boeing 757,6
McDonnell Douglas,G4,McDonnell Douglas DC-9,3
McDonnell Douglas,G4,McDonnell Douglas MD-80,61
Airbus,OH,Airbus A300,35
Airbus,AA,Airbus A319,125
Airbus,AA,Airbus A320,68
Airbus,AA,Airbus A321,209
Airbus,AA,Airbus A330,24
Airbus,AA,Airbus A350 XWB,1
Boeing,AA,Boeing 717,29
Boeing,AA,Boeing 737,332
Boeing,AA,Boeing 747,19
Boeing,AA,Boeing 757,177
Boeing,AA,Boeing 767,107
Boeing,AA,Boeing 777,67
Boeing,AA,Boeing 787 Dreamliner,26
British Aerospace,AA,British Aerospace BAe 146/Avro RJ,8
Embraer,AA,Embraer ERJ-190,20
Fokker,AA,Fokker F70 / F100,75
McDonnell Douglas,AA,McDonnell Douglas DC-10,66
McDonnell Douglas,AA,McDonnell Douglas DC-8,6
McDonnell Douglas,AA,McDonnell Douglas MD-11,19
McDonnell Douglas,AA,McDonnell Douglas MD-80,383
McDonnell Douglas,AA,McDonnell Douglas MD-90,5
Airbus,9K,Airbus A320,8
Airbus,9K,Airbus A330,7
Airbus,9K,Airbus A350 XWB,1
ATR,9K,ATR 42/72,84
Embraer,9K,Embraer ERJ-170,5
Embraer,9K,Embraer ERJ-190,88
Boeing,PT,Boeing 737,13
Airbus,DL,Airbus A310,30
Airbus,DL,Airbus A319,57
Airbus,DL,Airbus A320,69
Airbus,DL,Airbus A321,20
Airbus,DL,Airbus A330,42
Airbus,DL,Airbus A350 XWB,1
Boeing,DL,Boeing 717,91
Boeing,DL,Boeing 727,7
Boeing,DL,Boeing 737,269
Boeing,DL,Boeing 747,36
Boeing,DL,Boeing 757,206
Boeing,DL,Boeing 767,124
Boeing,DL,Boeing 777,19
Boeing,DL,Boeing 787 Dreamliner,86
Bombardier,DL,Bombardier CS100,21
