schedule_id,flight_date,origin_airport,dest_airport,dept_time,arr_time,flight_id ,delay_time,flight_status_id 
SC000000021,1/14/2018,ATL,ABY,1031,1120,3298,-17,1
SC000000042,1/2/2018,MOB,ATL,913,1131,3298,1,3
SC000000063,1/29/2018,ATL,EVV,1012,1033,3299,25,3
SC000000084,1/19/2018,BTV,DTW,1232,1424,3300,-31,1
SC000000105,1/8/2018,ATL,EWN,1354,1504,3301,74,3
SC000000126,1/2/2018,ATL,MGM,1456,1457,3301,-6,1
SC000000147,1/26/2018,EWN,ATL,1407,1555,3301,-10,1
SC000000168,1/16/2018,ATL,FAY,1701,1817,3302,-11,1
SC000000189,1/9/2018,FAY,ATL,1850,2021,3302,-9,1
SC000000210,1/27/2018,MSP,CMH,1532,1820,3302,-10,1
SC000000231,1/16/2018,RDU,BOS,1415,1603,3303,-16,1
SC000000252,1/10/2018,ATL,AEX,938,1017,3304,-15,1
SC000000273,1/27/2018,SRQ,JFK,1215,1449,3304,-24,1
SC000000294,1/23/2018,ATL,PIA,958,1049,3305,-14,1
SC000000315,1/10/2018,CSG,ATL,607,650,3306,-21,1
SC000000336,1/31/2018,CSG,ATL,605,714,3306,3,3
SC000000357,1/23/2018,ATL,EWN,1948,2112,3307,-8,1
SC000000378,1/22/2018,EVV,DTW,1020,1241,3308,-17,1
SC000000399,1/27/2018,CLE,LGA,1318,1454,3309,-16,1
SC000000420,1/29/2018,DTW,PIA,1003,1113,3309,29,3
SC000000441,1/18/2018,BGR,LGA,,,3310,,4
SC000000462,1/6/2018,OAJ,ATL,601,751,3311,22,3
SC000000483,1/27/2018,OAJ,ATL,533,722,3311,-7,1
SC000000504,1/18/2018,BTV,DTW,1653,1908,3312,-4,1
SC000000525,1/5/2018,MKE,LGA,1140,1450,3313,7,3
SC000000546,1/26/2018,MKE,LGA,1125,1417,3313,-26,1
SC000000567,1/22/2018,CVG,MSP,,,3314,,4
SC000000588,1/8/2018,ATL,FAY,828,939,3315,-11,1
SC000000609,1/31/2018,ATL,FAY,822,929,3315,-21,1
SC000000630,1/24/2018,FAY,ATL,959,1132,3315,-18,1
SC000000651,1/11/2018,RDU,BOS,845,1040,3316,-11,1
SC000000672,1/9/2018,ATL,EVV,1726,1741,3317,89,3
SC000000693,1/2/2018,FSM,ATL,1539,1819,3317,-18,1
SC000000714,1/18/2018,MSP,CWA,1942,2038,3318,-12,1
SC000000735,1/18/2018,BOS,MCI,602,832,3319,-29,1
SC000000756,1/20/2018,IAD,JFK,635,747,3320,-21,1
SC000000777,1/25/2018,MSP,PIA,2033,2202,3320,-16,1
SC000000798,1/17/2018,EWN,ATL,712,913,3321,82,3
SC000000819,1/9/2018,AEX,ATL,1735,2040,3322,10,3
SC000000840,1/5/2018,ATL,AEX,1725,1755,3322,40,3
SC000000861,1/31/2018,ATL,AEX,1612,1647,3322,-28,1
SC000000882,1/14/2018,ATL,CRW,1538,1650,3323,16,3
SC000000903,1/4/2018,CRW,ATL,1931,2105,3323,148,3
SC000000924,1/25/2018,CRW,ATL,1643,1806,3323,-31,1
SC000000945,1/12/2018,PIA,MSP,612,754,3324,-17,1
SC000000966,1/7/2018,ATL,PIA,,,3325,,4
SC000000987,1/28/2018,ATL,PIA,2116,2154,3325,-36,1
SC000001008,1/18/2018,IND,MSP,702,751,3326,-14,1
SC000001029,1/11/2018,RDU,JFK,1345,1536,3327,-5,1
SC000001050,1/8/2018,ATL,ROA,1749,1909,3328,109,3
SC000001071,1/2/2018,CHS,ATL,1535,1658,3328,78,3
SC000001092,1/22/2018,ROA,ATL,1733,1900,3328,-32,1
SC000001113,1/11/2018,ROC,MSP,604,724,3329,-35,1
SC000001134,1/6/2018,BUF,JFK,1533,1726,3330,19,3
SC000001155,1/27/2018,BUF,JFK,1519,1635,3330,-32,1
SC000001176,1/14/2018,SAT,MSP,1821,2128,3331,397,3
SC000001197,1/9/2018,ATL,PIA,1453,1551,3332,-4,1
SC000001218,1/5/2018,PIA,ATL,1613,1850,3332,-22,1
SC000001239,1/26/2018,PIA,ATL,1611,1848,3332,-24,1
SC000001260,1/23/2018,ATL,CHA,1730,1810,3333,-19,1
SC000001281,1/14/2018,XNA,ATL,1617,1954,3333,40,3
SC000001302,1/21/2018,ATL,FAY,1347,1509,3334,14,3
SC000001323,1/12/2018,FAY,ATL,1523,1657,3334,2,3
SC000001344,1/3/2018,BMI,ATL,601,909,3335,10,3
SC000001365,1/24/2018,BMI,ATL,550,851,3335,-8,1
SC000001386,1/12/2018,LGA,MSY,,,3336,,4
SC000001407,1/2/2018,TYS,ATL,1320,1411,3336,-28,1
SC000001428,1/25/2018,PHL,CVG,1902,2056,3337,-19,1
SC000001449,1/17/2018,BQK,ATL,704,818,3338,48,3
SC000001470,1/8/2018,ATL,FSM,2252,2338,3339,53,3
SC000001491,1/29/2018,ATL,FSM,2152,2238,3339,-7,1
SC000001512,1/17/2018,LGA,MKE,1302,1455,3340,71,3
SC000001533,1/9/2018,ORF,JFK,1849,2006,3341,81,3
SC000001554,1/30/2018,ORF,JFK,1659,1857,3341,12,3
SC000001575,1/29/2018,ATL,GNV,809,915,3342,-14,1
SC000001596,1/24/2018,GNV,ATL,944,1101,3342,-17,1
SC000001617,1/9/2018,PIA,ATL,1252,1537,3343,96,3
SC000001638,1/4/2018,EVV,DTW,1716,1933,3344,14,3
SC000001659,1/30/2018,EVV,DTW,1635,1857,3344,-22,1
SC000001680,1/16/2018,BOS,JFK,1319,1444,3345,-10,1
SC000001701,1/5/2018,MSP,IND,1011,1241,3346,-24,1
SC000001722,1/4/2018,ATL,TRI,810,911,3347,-12,1
SC000001743,1/20/2018,BUF,LGA,1342,1449,3347,-27,1
SC000001764,1/17/2018,TRI,ATL,1228,1409,3347,189,3
SC000001785,1/11/2018,ATL,VLD,2104,2156,3348,-19,1
