id,sentiment,airline_id,aircraft_type,customer_id,class_id
SENT_1,Dissatisfied,PT,Boeing 737,4711,F_CLASS
SENT_2,Satisfied,YV,Embraer EMB-120 Brasilia,2472,F_CLASS
SENT_3,Satisfied,AS,McDonnell Douglas MD-80,10202,BUS
SENT_4,Satisfied,AX,Boeing 767,4306,BUS
SENT_5,Satisfied,C5,Airbus A321,5221,BUS
SENT_6,Satisfied,G4,McDonnell Douglas MD-80,14337,F_CLASS
SENT_7,Satisfied,F9,Airbus A319,9428,BUS
SENT_8,Satisfied,OO,Canadair CRJ-100 Series,7024,ECO
SENT_9,Neutral,WN,Boeing 737,2992,ECO_P
SENT_10,Satisfied,PT,Boeing 737,2593,BUS
SENT_11,Neutral,KS,Fokker F70 / F100,2451,ECO_P
SENT_12,Dissatisfied,WN,Boeing 737,49,ECO_P
SENT_13,Dissatisfied,VX,Airbus A319,720,BUS
SENT_14,Dissatisfied,9K,Embraer ERJ-190,14949,BUS
SENT_15,Dissatisfied,MQ,Embraer ERJ-170,14223,ECO
SENT_16,Neutral,G7,Embraer ERJ-145,12353,ECO
SENT_17,Neutral,ZW,De Havilland Canada DHC-8 Dash 8,8062,ECO
SENT_18,Neutral,OO,Embraer E175-E2,5060,ECO
SENT_19,Neutral,ZW,British Aerospace BAe 146/Avro RJ,7530,ECO_P
SENT_20,Dissatisfied,EM,Antonov An-124,7887,F_CLASS
SENT_21,Dissatisfied,YV,Canadair CRJ-700,3027,ECO_P
SENT_22,Neutral,DL,Boeing 717,1695,ECO
SENT_23,Dissatisfied,AA,Airbus A350 XWB,6718,BUS
SENT_24,Neutral,B6,Airbus A321,8906,ECO_P
SENT_25,Satisfied,AX,Boeing 767,14882,BUS
SENT_26,Satisfied,WN,Boeing 737,7061,F_CLASS
SENT_27,Satisfied,CP,Embraer ERJ-170,8399,F_CLASS
SENT_28,Satisfied,PT,Boeing 737,13420,F_CLASS
SENT_29,Satisfied,G7,Embraer ERJ-145,9654,ECO_P
SENT_30,Satisfied,NK,Airbus A321,6600,BUS
SENT_31,Dissatisfied,QX,Canadair CRJ-700,3465,BUS
SENT_32,Satisfied,HA,Boeing 717,2209,BUS
SENT_33,Dissatisfied,HA,McDonnell Douglas DC-10,14683,BUS
SENT_34,Satisfied,OO,Mitsubishi MRJ90,12888,ECO_P
SENT_35,Satisfied,VX,Airbus A319,10488,F_CLASS
SENT_36,Satisfied,EV,ATR 42/72,4744,ECO_P
SENT_37,Satisfied,YX,De Havilland Canada DHC-8 Dash 8,6200,F_CLASS
SENT_38,Satisfied,AS,Canadair CRJ-700,4323,ECO
SENT_39,Satisfied,AS,Canadair CRJ-700,6906,ECO_P
SENT_40,Satisfied,9E,Canadair CRJ-900,14831,ECO
SENT_41,Satisfied,HA,Airbus A330,11780,BUS
SENT_42,Satisfied,QX,Canadair CRJ-700,8079,BUS
SENT_43,Satisfied,ZW,British Aerospace BAe ATP,14870,F_CLASS
SENT_44,Satisfied,AA,McDonnell Douglas DC-10,8745,ECO
SENT_45,Satisfied,9E,Canadair CRJ-100 Series,4934,BUS
SENT_46,Dissatisfied,WN,Boeing 737,2597,BUS
SENT_47,Satisfied,NK,Airbus A320,147,F_CLASS
SENT_48,Dissatisfied,G7,Canadair CRJ-900,1431,ECO_P
SENT_49,Dissatisfied,MQ,Embraer ERJ-170,14042,ECO
SENT_50,Satisfied,AS,Embraer ERJ-170,7464,F_CLASS
SENT_51,Satisfied,B6,Airbus A321,1073,ECO
SENT_52,Dissatisfied,WN,Boeing 737,11706,ECO_P
SENT_53,Neutral,9E,Canadair CRJ-900,5439,ECO
SENT_54,Satisfied,AS,McDonnell Douglas MD-80,3614,F_CLASS
SENT_55,Neutral,G7,Canadair CRJ-700,4856,ECO_P
SENT_56,Satisfied,ZW,De Havilland Canada DHC-8 Dash 8,14588,ECO_P
SENT_57,Satisfied,B6,Airbus A321,13266,ECO
SENT_58,Satisfied,PT,Boeing 737,10716,ECO
SENT_59,Satisfied,F9,Airbus A318,11639,BUS
SENT_60,Satisfied,PT,Boeing 737,9263,ECO_P
SENT_61,Satisfied,OH,Boeing 757,2672,BUS
SENT_62,Dissatisfied,CP,Canadair CRJ-100 Series,6377,BUS
SENT_63,Neutral,HA,Airbus A330,10792,F_CLASS
SENT_64,Satisfied,MQ,Embraer ERJ-170,2987,ECO
SENT_65,Satisfied,PT,Boeing 737,5629,BUS
SENT_66,Neutral,9K,Airbus A320,837,ECO_P
SENT_67,Satisfied,9E,Canadair CRJ-100 Series,12962,BUS
SENT_68,Neutral,WN,Boeing 737,3901,BUS
SENT_69,Neutral,F9,Airbus A319,10367,ECO
SENT_70,Dissatisfied,G4,Boeing 757,12120,ECO_P
SENT_71,Dissatisfied,WN,Boeing 737,11898,F_CLASS
SENT_72,Neutral,WN,Boeing 737,278,ECO_P
SENT_73,Satisfied,EM,Antonov An-124,9592,ECO_P
SENT_74,Neutral,ZW,Canadair CRJ-100 Series,12380,ECO_P
SENT_75,Dissatisfied,F9,Airbus A319,13680,ECO
SENT_76,Satisfied,AA,Boeing 787 Dreamliner,5361,BUS
SENT_77,Neutral,OH,Airbus A300,4003,ECO
SENT_78,Satisfied,AA,McDonnell Douglas MD-11,10090,ECO
SENT_79,Satisfied,EM,McDonnell Douglas DC-10,10580,F_CLASS
SENT_80,Dissatisfied,G4,McDonnell Douglas DC-9,12474,BUS
SENT_81,Neutral,ZW,Canadair CRJ-100 Series,2812,ECO_P
SENT_82,Dissatisfied,G4,McDonnell Douglas MD-80,5488,ECO
SENT_83,Dissatisfied,B6,Airbus A321,8291,F_CLASS
SENT_84,Satisfied,CP,Canadair CRJ-100 Series,12598,ECO_P
SENT_85,Neutral,MQ,Embraer ERJ-170,6748,ECO
SENT_86,Dissatisfied,9E,Canadair CRJ-100 Series,4375,F_CLASS
SENT_87,Dissatisfied,NK,McDonnell Douglas DC-9,10937,BUS
SENT_88,Dissatisfied,C5,Airbus A321,5353,ECO
SENT_89,Neutral,EM,McDonnell Douglas DC-10,4794,F_CLASS
SENT_90,Satisfied,DL,Airbus A330,8048,ECO_P
SENT_91,Neutral,CP,Embraer ERJ-170,14841,ECO
SENT_92,Satisfied,MQ,Embraer ERJ-170,14601,BUS
SENT_93,Neutral,PT,Boeing 737,3235,ECO_P
SENT_94,Dissatisfied,AA,Boeing 717,10840,ECO
SENT_95,Neutral,G7,Canadair CRJ-700,8655,BUS
SENT_96,Neutral,OO,Embraer E175-E2,841,F_CLASS
SENT_97,Neutral,VX,Airbus A321,3701,BUS
SENT_98,Satisfied,AX,Boeing 767,4382,ECO
SENT_99,Satisfied,DL,Boeing 777,3566,F_CLASS
SENT_100,Satisfied,AS,Boeing 737,9207,BUS
SENT_101,Satisfied,EM,McDonnell Douglas MD-11,12225,F_CLASS
SENT_102,Satisfied,EM,Antonov An-124,14358,ECO
SENT_103,Satisfied,VX,Airbus A320,11746,ECO
SENT_104,Satisfied,YX,Embraer ERJ-170,11755,ECO_P
SENT_105,Satisfied,UA,McDonnell Douglas DC-10,1167,F_CLASS
SENT_106,Satisfied,ZW,British Aerospace BAe 146/Avro RJ,7247,ECO_P
SENT_107,Satisfied,AS,Canadair CRJ-700,6460,F_CLASS
SENT_108,Dissatisfied,YV,Embraer ERJ-170,1292,BUS
SENT_109,Dissatisfied,B6,Airbus A321,4999,ECO_P
SENT_110,Satisfied,F9,De Havilland Canada DHC-8 Dash 8,10580,F_CLASS
SENT_111,Satisfied,9K,Airbus A350 XWB,8222,BUS
SENT_112,Neutral,EM,McDonnell Douglas DC-10,13243,F_CLASS
SENT_113,Dissatisfied,PT,Boeing 737,8801,BUS
SENT_114,Neutral,F9,Airbus A318,12938,ECO
SENT_115,Dissatisfied,C5,Airbus A321,14975,ECO
SENT_116,Dissatisfied,AX,Boeing 767,4593,ECO
SENT_117,Satisfied,OH,Boeing 757,12449,ECO
SENT_118,Satisfied,EM,Antonov An-124,4717,ECO_P
SENT_119,Dissatisfied,QX,Embraer E175,4392,ECO
SENT_120,Neutral,AA,Boeing 717,241,ECO_P
SENT_121,Dissatisfied,YX,Embraer ERJ-170,3866,F_CLASS
SENT_122,Dissatisfied,B6,Embraer ERJ-190,12207,F_CLASS
SENT_123,Neutral,DL,McDonnell Douglas DC-9,10299,ECO
SENT_124,Dissatisfied,EV,ATR 42/72,5767,BUS
SENT_125,Neutral,9K,Embraer ERJ-170,10221,ECO
SENT_126,Dissatisfied,EV,ATR 42/72,5918,BUS
SENT_127,Neutral,QX,Embraer E175,10294,BUS
SENT_128,Neutral,B6,Airbus A320,12923,BUS
SENT_129,Neutral,KS,Fokker F70 / F100,704,F_CLASS
SENT_130,Satisfied,B6,Embraer ERJ-190,7104,ECO
SENT_131,Neutral,G7,Mitsubishi MRJ90,4389,F_CLASS
SENT_132,Dissatisfied,WN,Boeing 737,7938,F_CLASS
SENT_133,Dissatisfied,F9,Boeing 737,4260,BUS
SENT_134,Satisfied,EV,ATR 42/72,14036,BUS
SENT_135,Neutral,HA,Airbus A330,7131,ECO_P
SENT_136,Satisfied,AS,Boeing 737,12798,F_CLASS
SENT_137,Satisfied,ZW,Canadair CRJ-100 Series,7290,ECO
SENT_138,Satisfied,AX,Boeing 767,6299,F_CLASS
SENT_139,Neutral,ZW,Dornier Do-328,11982,ECO_P
SENT_140,Satisfied,B6,Embraer ERJ-190,7116,BUS
SENT_141,Satisfied,UA,Boeing 727,14286,ECO
SENT_142,Satisfied,YX,Embraer ERJ-170,4496,F_CLASS
SENT_143,Satisfied,9E,Canadair CRJ-100 Series,10249,F_CLASS
SENT_144,Satisfied,AX,Boeing 767,12020,F_CLASS
SENT_145,Neutral,CP,Canadair CRJ-100 Series,8556,ECO_P
SENT_146,Satisfied,NK,Airbus A321,9849,BUS
SENT_147,Neutral,CP,Canadair CRJ-100 Series,3648,BUS
SENT_148,Dissatisfied,WN,Boeing 737,447,BUS
SENT_149,Dissatisfied,G7,Mitsubishi MRJ90,14977,ECO
SENT_150,Dissatisfied,AS,Embraer ERJ-170,6390,F_CLASS
SENT_151,Satisfied,AX,Boeing 767,4528,BUS
SENT_152,Neutral,EV,ATR 42/72,11499,BUS
SENT_153,Satisfied,ZW,De Havilland Canada DHC-8 Dash 8,14439,ECO_P
SENT_154,Satisfied,ZW,Dornier Do-328,1939,F_CLASS
SENT_155,Neutral,YV,Embraer EMB-120 Brasilia,11130,BUS
SENT_156,Dissatisfied,YV,Embraer ERJ-145,8421,BUS
SENT_157,Dissatisfied,AX,Boeing 767,13931,F_CLASS
SENT_158,Dissatisfied,EV,ATR 42/72,9548,ECO_P
SENT_159,Satisfied,CP,Embraer ERJ-170,3354,ECO_P
SENT_160,Neutral,CP,Canadair CRJ-100 Series,2539,BUS
SENT_161,Neutral,C5,Airbus A321,14123,F_CLASS
SENT_162,Dissatisfied,AS,Embraer ERJ-170,2489,ECO
SENT_163,Neutral,9K,Airbus A330,1485,ECO_P
SENT_164,Neutral,YV,Embraer ERJ-170,11270,ECO_P
SENT_165,Dissatisfied,UA,Airbus A350,8585,BUS
SENT_166,Dissatisfied,UA,McDonnell Douglas DC-8,12287,BUS
SENT_167,Dissatisfied,OO,Embraer ERJ-170,727,ECO_P
SENT_168,Dissatisfied,UA,Airbus A320,4194,F_CLASS
SENT_169,Neutral,CP,Embraer ERJ-170,12440,F_CLASS
SENT_170,Neutral,G4,McDonnell Douglas MD-80,12266,ECO
SENT_171,Satisfied,PT,Boeing 737,13622,F_CLASS
SENT_172,Satisfied,WN,Boeing 737,3925,BUS
SENT_173,Satisfied,CP,Canadair CRJ-100 Series,11800,F_CLASS
SENT_174,Neutral,NK,Airbus A321,2475,ECO
SENT_175,Dissatisfied,CP,Canadair CRJ-100 Series,10325,BUS
SENT_176,Dissatisfied,HA,McDonnell Douglas DC-9,10461,F_CLASS
SENT_177,Dissatisfied,EM,McDonnell Douglas MD-11,12654,BUS
SENT_178,Neutral,KS,Airbus A319,7066,F_CLASS
SENT_179,Satisfied,OO,Canadair CRJ-100 Series,12029,F_CLASS
SENT_180,Satisfied,CP,Embraer ERJ-170,8123,BUS
SENT_181,Satisfied,KS,Airbus A310,7149,ECO_P
SENT_182,Satisfied,OO,Embraer EMB-120 Brasilia,8334,F_CLASS
SENT_183,Neutral,YX,Embraer ERJ-190,12050,F_CLASS
SENT_184,Satisfied,YX,Embraer ERJ-190,4779,F_CLASS
